word_entry	word_level_CEFRLex	sentence_level_generated	sentence_ID	sentence_text
porte|NOUN	A1	A1	FR_0	La porte est bleue.
porte|NOUN	A1	A2	FR_1	La porte est ouverte.
porte|NOUN	A1	B1	FR_2	Elle a ouvert la porte du salon.
porte|NOUN	A1	B2	FR_3	La porte d'entrée de l'immeuble est toujours fermée le soir.
porte|NOUN	A1	C1	FR_4	Sa promotion lui a ouvert de nouvelles portes professionnelles.
tête|NOUN	A1	A1	FR_5	J'ai mal à la tête.
tête|NOUN	A1	A2	FR_6	J'ai mal à la tête.
tête|NOUN	A1	B1	FR_7	Il a une casquette sur la tête.
tête|NOUN	A1	B2	FR_8	Il a hoché la tête pour signifier son accord.
tête|NOUN	A1	C1	FR_9	Il a pris la tête du projet avec une détermination impressionnante.
journaliste|NOUN	A1	A1	FR_10	Je suis journaliste.
journaliste|NOUN	A1	A2	FR_11	Mon frère est journaliste à Paris.
journaliste|NOUN	A1	B1	FR_12	Mon ami est journaliste pour un grand journal.
journaliste|NOUN	A1	B2	FR_13	Le journaliste a posé plusieurs questions à l'homme politique.
journaliste|NOUN	A1	C1	FR_14	La journaliste a posé une question pertinente au ministre.
appartement|NOUN	A1	A1	FR_15	J'ai un appartement.
appartement|NOUN	A1	A2	FR_16	J'habite dans un grand appartement.
appartement|NOUN	A1	B1	FR_17	J'ai un petit appartement en ville.
appartement|NOUN	A1	B2	FR_18	Nous avons visité un bel appartement avec trois chambres dans le centre-ville.
appartement|NOUN	A1	C1	FR_19	La recherche d'un appartement spacieux et lumineux dans le centre-ville s'avérait plus ardue que prévu.
texte|NOUN	A1	A1	FR_20	Je lis un texte.
texte|NOUN	A1	A2	FR_21	Ce texte est très intéressant.
texte|NOUN	A1	B1	FR_22	Le texte de cette chanson est très beau.
texte|NOUN	A1	B2	FR_23	Nous avons dû analyser le texte pour comprendre son message.
texte|NOUN	A1	C1	FR_24	Le professeur a demandé aux étudiants d'analyser le texte sous un angle critique.
repas|NOUN	A1	A1	FR_25	Le repas est bon.
repas|NOUN	A1	A2	FR_26	Nous prenons le repas ensemble.
repas|NOUN	A1	B1	FR_27	Nous avons pris un bon repas ensemble.
repas|NOUN	A1	B2	FR_28	Le repas de ce soir sera composé de plusieurs plats.
repas|NOUN	A1	C1	FR_29	Le chef a concocté un repas exquis pour célébrer cette occasion spéciale.
passé|NOUN	A1	A1	FR_30	J'aime mon passé.
passé|NOUN	A1	A2	FR_31	Il pense souvent à son passé.
passé|NOUN	A1	B1	FR_32	Il parle de son passé.
passé|NOUN	A1	B2	FR_33	Il pense souvent à son passé.
passé|NOUN	A1	C1	FR_34	Elle a tiré des leçons de son passé pour avancer.
employé|NOUN	A1	A1	FR_35	Mon père est un employé.
employé|NOUN	A1	A2	FR_36	L'employé est arrivé à l'heure ce matin.
employé|NOUN	A1	B1	FR_37	L'employé travaille au bureau tous les jours.
employé|NOUN	A1	B2	FR_38	Notre nouvel employé est très motivé.
employé|NOUN	A1	C1	FR_39	Chaque employé a le droit de prendre des congés payés.
pauvre|NOUN	A1	A1	FR_40	Il donne de l'argent aux pauvres.
pauvre|NOUN	A1	A2	FR_41	Il a aidé un pauvre dans la rue.
pauvre|NOUN	A1	B1	FR_42	Les pauvres ont besoin d'aide.
pauvre|NOUN	A1	B2	FR_43	Elle donne souvent de l'argent aux pauvres dans la rue.
pauvre|NOUN	A1	C1	FR_44	Les pauvres sont souvent les premières victimes des crises économiques.
étranger|NOUN	A1	A1	FR_45	C'est un étranger.
étranger|NOUN	A1	A2	FR_46	Je ne connais pas cet étranger.
étranger|NOUN	A1	B1	FR_47	J'ai rencontré un étranger dans le parc.
étranger|NOUN	A1	B2	FR_48	Il a aidé un étranger à trouver son chemin.
étranger|NOUN	A1	C1	FR_49	L'étranger, par sa perspective nouvelle, peut souvent apporter un éclairage intéressant sur nos coutumes.
température|NOUN	A1	A1	FR_50	La température est bonne.
température|NOUN	A1	A2	FR_51	La température est de vingt degrés.
température|NOUN	A1	B1	FR_52	La température va baisser demain.
température|NOUN	A1	B2	FR_53	La température a beaucoup baissé cette nuit.
température|NOUN	A1	C1	FR_54	La fluctuation des températures ces derniers jours a rendu l'adaptation difficile.
faute|NOUN	A1	A1	FR_55	C'est une faute.
faute|NOUN	A1	A2	FR_56	J'ai fait une faute dans mon devoir.
faute|NOUN	A1	B1	FR_57	J'ai fait une faute en écrivant mon message.
faute|NOUN	A1	B2	FR_58	L'arbitre a sifflé une faute contre l'équipe visiteuse.
faute|NOUN	A1	C1	FR_59	Faute de financement adéquat, le projet a dû être abandonné.
chant|NOUN	A1	A1	FR_60	J'aime le chant.
chant|NOUN	A1	A2	FR_61	J'aime le chant de cette chorale.
chant|NOUN	A1	B1	FR_62	Le chant de l'oiseau est très mélodieux.
chant|NOUN	A1	B2	FR_63	Nous avons appris un nouveau chant à la chorale.
chant|NOUN	A1	C1	FR_64	Le chant des baleines est un phénomène sonore complexe et fascinant.
gaz|NOUN	A1	A1	FR_65	J'ai une cuisinière à gaz.
gaz|NOUN	A1	A2	FR_66	J'allume le gaz pour faire chauffer l'eau.
gaz|NOUN	A1	B1	FR_67	Le chauffage fonctionne au gaz.
gaz|NOUN	A1	B2	FR_68	Nous avons senti une forte odeur de gaz dans la cuisine.
gaz|NOUN	A1	C1	FR_69	L'augmentation des émissions de gaz carbonique contribue au réchauffement climatique.
charme|NOUN	A1	A1	FR_70	J'aime le charme de cette ville.
charme|NOUN	A1	A2	FR_71	Ce café a beaucoup de charme.
charme|NOUN	A1	B1	FR_72	J'aime le charme de cette vieille ville.
charme|NOUN	A1	B2	FR_73	Le charme de ce vieux quartier attire beaucoup de touristes.
charme|NOUN	A1	C1	FR_74	Le charme de cette petite ville réside dans son architecture authentique.
tâche|NOUN	A1	A1	FR_75	Il y a une tâche rouge sur la table.
tâche|NOUN	A1	A2	FR_76	J'ai une tâche à faire aujourd'hui.
tâche|NOUN	A1	B1	FR_77	J'ai une tâche importante à finir avant midi.
tâche|NOUN	A1	B2	FR_78	Ma tâche principale pour la semaine est de finir ce rapport.
tâche|NOUN	A1	C1	FR_79	La gestion de projet est une tâche complexe qui demande de la rigueur.
français|NOUN	A1	A1	FR_80	Je parle français.
français|NOUN	A1	A2	FR_81	Je parle français.
français|NOUN	A1	B1	FR_82	J'étudie le français depuis trois ans.
français|NOUN	A1	B2	FR_83	Le français est une langue très belle à écouter.
français|NOUN	A1	C1	FR_84	L'apprentissage du français requiert de la persévérance et une immersion culturelle.
indice|NOUN	A1	A1	FR_85	N/A
indice|NOUN	A1	A2	FR_86	Il y a un indice sur la table.
indice|NOUN	A1	B1	FR_87	La police a trouvé un indice important sur la scène du crime.
indice|NOUN	A1	B2	FR_88	La police a trouvé un indice important sur la scène du crime.
indice|NOUN	A1	C1	FR_89	L'indice de confiance des consommateurs a chuté ce mois-ci.
dessert|NOUN	A1	A1	FR_90	J'aime le dessert.
dessert|NOUN	A1	A2	FR_91	J'adore le dessert au chocolat.
dessert|NOUN	A1	B1	FR_92	Après le repas, nous avons mangé un délicieux dessert.
dessert|NOUN	A1	B2	FR_93	Nous avons choisi une tarte aux pommes comme dessert.
dessert|NOUN	A1	C1	FR_94	Après un copieux repas, un dessert léger est toujours le bienvenu pour clore la soirée.
général|NOUN	A1	A1	FR_95	N/A
général|NOUN	A1	A2	FR_96	Le général porte un uniforme.
général|NOUN	A1	B1	FR_97	Le général a donné des ordres.
général|NOUN	A1	B2	FR_98	Le général a pris la parole devant les troupes.
général|NOUN	A1	C1	FR_99	Le général a inspecté les troupes avant la parade.
entendre|VERB	A1	A1	FR_100	J'entends la musique.
entendre|VERB	A1	A2	FR_101	J'entends la musique dans la rue.
entendre|VERB	A1	B1	FR_102	J'entends souvent des oiseaux chanter le matin.
entendre|VERB	A1	B2	FR_103	Il est important d'entendre tous les points de vue avant de juger.
entendre|VERB	A1	C1	FR_104	Le gouvernement n'entend pas céder aux pressions des syndicats.
vouloir|VERB	A1	A1	FR_105	Je veux un café.
vouloir|VERB	A1	A2	FR_106	Je veux un café, s'il vous plaît.
vouloir|VERB	A1	B1	FR_107	Ils voulaient que je vienne avec eux.
vouloir|VERB	A1	B2	FR_108	Ils voulaient que je les aide à déménager.
vouloir|VERB	A1	C1	FR_109	Si seulement il avait voulu écouter nos conseils, il n'en serait pas là aujourd'hui.
sembler|VERB	A1	A1	FR_110	Ça semble bon.
sembler|VERB	A1	A2	FR_111	Ça semble bon.
sembler|VERB	A1	B1	FR_112	Elle semble fatiguée après sa longue journée.
sembler|VERB	A1	B2	FR_113	Il semble que la réunion soit reportée à demain.
sembler|VERB	A1	C1	FR_114	Il semble que cette décision ait eu un impact positif sur la situation.
jouer|VERB	A1	A1	FR_115	Je joue au football.
jouer|VERB	A1	A2	FR_116	Il joue au football.
jouer|VERB	A1	B1	FR_117	Les enfants jouent dans le parc après l'école.
jouer|VERB	A1	B2	FR_118	Les acteurs vont jouer une pièce de théâtre ce soir.
jouer|VERB	A1	C1	FR_119	Les acteurs joueront la pièce devant une salle comble.
boire|VERB	A1	A1	FR_120	Je bois de l'eau.
boire|VERB	A1	A2	FR_121	Il aime boire du café le matin.
boire|VERB	A1	B1	FR_122	Je veux boire un verre d'eau.
boire|VERB	A1	B2	FR_123	Il est recommandé de boire beaucoup d'eau pendant l'été.
boire|VERB	A1	C1	FR_124	Le projet a bu la tasse après le départ inattendu du chef d'équipe.
dormir|VERB	A1	A1	FR_125	J'aime dormir.
dormir|VERB	A1	A2	FR_126	Je dors bien la nuit.
dormir|VERB	A1	B1	FR_127	Les enfants doivent dormir au moins huit heures par jour.
dormir|VERB	A1	B2	FR_128	Après une longue journée, j'avais juste envie de dormir.
dormir|VERB	A1	C1	FR_129	Il est impératif que tu aies dormi suffisamment avant d'entamer une tâche aussi exigeante.
réussir|VERB	A1	A1	FR_130	Je veux réussir mon examen.
réussir|VERB	A1	A2	FR_131	J'espère réussir mon examen.
réussir|VERB	A1	B1	FR_132	Elle a réussi à trouver un bon travail.
réussir|VERB	A1	B2	FR_133	Il faut travailler dur pour réussir.
réussir|VERB	A1	C1	FR_134	Pour réussir dans la vie, il est souvent nécessaire de savoir s'adapter aux changements.
obtenir|VERB	A1	A1	FR_135	Tu obtiens un cadeau.
obtenir|VERB	A1	A2	FR_136	Elle a obtenu un bon résultat à l'examen.
obtenir|VERB	A1	B1	FR_137	J'ai obtenu mon diplôme l'année dernière.
obtenir|VERB	A1	B2	FR_138	Il a réussi à obtenir le poste qu'il voulait.
obtenir|VERB	A1	C1	FR_139	Il a réussi à obtenir le poste de ses rêves après des années de travail acharné.
diriger|VERB	A1	A1	FR_140	N/A
diriger|VERB	A1	A2	FR_141	Il dirige la réunion.
diriger|VERB	A1	B1	FR_142	Mon père dirige une petite entreprise.
diriger|VERB	A1	B2	FR_143	Le chef d'orchestre va diriger le concert ce soir.
diriger|VERB	A1	C1	FR_144	La direction a décidé de diriger les efforts de l'entreprise vers l'innovation technologique.
embrasser|VERB	A1	A1	FR_145	Je veux embrasser ma mère.
embrasser|VERB	A1	A2	FR_146	Il embrasse sa petite amie.
embrasser|VERB	A1	B1	FR_147	Il a embrassé sa grand-mère avant de partir.
embrasser|VERB	A1	B2	FR_148	Elle a embrassé son ami pour le saluer avant de partir.
embrasser|VERB	A1	C1	FR_149	Le député a embrassé une carrière politique prometteuse.
réduire|VERB	A1	A1	FR_150	N/A
réduire|VERB	A1	A2	FR_151	Je veux réduire mes dépenses ce mois-ci.
réduire|VERB	A1	B1	FR_152	Il faut réduire la quantité de sucre dans votre café.
réduire|VERB	A1	B2	FR_153	Nous devons réduire notre consommation d'eau.
réduire|VERB	A1	C1	FR_154	Pour protéger l'environnement, nous devons réduire notre consommation d'énergie.
remercier|VERB	A1	A1	FR_155	Je remercie ma mère.
remercier|VERB	A1	A2	FR_156	Je te remercie beaucoup.
remercier|VERB	A1	B1	FR_157	Je dois te remercier pour cette information.
remercier|VERB	A1	B2	FR_158	Nous devons le remercier pour son aide précieuse.
remercier|VERB	A1	C1	FR_159	Je tiens à vous remercier sincèrement pour votre soutien indéfectible.
accueillir|VERB	A1	A1	FR_160	Nous vous accueillons.
accueillir|VERB	A1	A2	FR_161	Nous accueillons nos amis ce soir.
accueillir|VERB	A1	B1	FR_162	Nous allons accueillir nos nouveaux voisins la semaine prochaine.
accueillir|VERB	A1	B2	FR_163	Ils ont décidé d'accueillir les nouveaux étudiants.
accueillir|VERB	A1	C1	FR_164	Son discours a été accueilli avec enthousiasme par le public.
inventer|VERB	A1	A1	FR_165	J'invente une histoire.
inventer|VERB	A1	A2	FR_166	J'ai inventé une histoire drôle.
inventer|VERB	A1	B1	FR_167	Il a inventé une machine pour le café.
inventer|VERB	A1	B2	FR_168	Les scientifiques ont inventé une nouvelle méthode pour produire de l'énergie.
inventer|VERB	A1	C1	FR_169	L'artiste a réussi à inventer un style unique qui le distingue de ses contemporains.
blesser|VERB	A1	A1	FR_170	Je ne veux pas te blesser.
blesser|VERB	A1	A2	FR_171	Le couteau peut te blesser.
blesser|VERB	A1	B1	FR_172	Le joueur s'est blessé pendant le match.
blesser|VERB	A1	B2	FR_173	Il s'est blessé en tombant de son vélo.
blesser|VERB	A1	C1	FR_174	La nouvelle de son départ a profondément blessé ses collègues.
rouler|VERB	A1	A1	FR_175	La voiture roule dans la rue.
rouler|VERB	A1	A2	FR_176	La voiture roule vite.
rouler|VERB	A1	B1	FR_177	La voiture roule sur la route.
rouler|VERB	A1	B2	FR_178	Nous allons rouler jusqu'à la côte demain.
rouler|VERB	A1	C1	FR_179	Malgré la crise, les affaires de l'entreprise continuent de rouler correctement.
amener|VERB	A1	A1	FR_180	J'amène ma sœur à l'école.
amener|VERB	A1	A2	FR_181	Il amène son chien au parc.
amener|VERB	A1	B1	FR_182	Je dois amener mon frère à la gare.
amener|VERB	A1	B2	FR_183	Cette discussion nous a amenés à une meilleure compréhension du problème.
amener|VERB	A1	C1	FR_184	Le gouvernement espère amener des changements positifs dans la société.
admirer|VERB	A1	A1	FR_185	J'admire les étoiles.
admirer|VERB	A1	A2	FR_186	J'admire son travail.
admirer|VERB	A1	B1	FR_187	J'admire son courage.
admirer|VERB	A1	B2	FR_188	J'admire sa persévérance face aux défis.
admirer|VERB	A1	C1	FR_189	Les critiques ont unanimement admiré la performance subtile de l'actrice principale.
rassurer|VERB	A1	A1	FR_190	N/A
rassurer|VERB	A1	A2	FR_191	Mes parents me rassurent quand j'ai peur.
rassurer|VERB	A1	B1	FR_192	Ses mots m'ont rassuré.
rassurer|VERB	A1	B2	FR_193	J'ai besoin de te rassurer, tout ira bien.
rassurer|VERB	A1	C1	FR_194	Son sourire a suffi à me rassurer après la mauvaise nouvelle.
analyser|VERB	A1	A1	FR_195	N/A
analyser|VERB	A1	A2	FR_196	Il faut analyser la situation.
analyser|VERB	A1	B1	FR_197	Nous devons analyser les résultats de l'enquête.
analyser|VERB	A1	B2	FR_198	Elle a analysé la situation avant de prendre une décision.
analyser|VERB	A1	C1	FR_199	Il faut analyser les résultats attentivement.
couverture|NOUN	A2	A1	FR_200	Je mets la couverture sur le lit.
couverture|NOUN	A2	A2	FR_201	Il fait froid, prends une couverture.
couverture|NOUN	A2	B1	FR_202	J'ai mis une couverture chaude sur le canapé.
couverture|NOUN	A2	B2	FR_203	Nous avons besoin d'une meilleure couverture réseau dans cette zone.
couverture|NOUN	A2	C1	FR_204	Les nouvelles mesures visent à étendre la couverture sociale à tous les citoyens.
réseau|NOUN	A2	A1	FR_205	N/A
réseau|NOUN	A2	A2	FR_206	Il n'y a pas de réseau ici.
réseau|NOUN	A2	B1	FR_207	Le réseau de bus est très bon dans cette ville.
réseau|NOUN	A2	B2	FR_208	Mon téléphone n'a pas de réseau ici.
réseau|NOUN	A2	C1	FR_209	Elle a bâti un solide réseau professionnel qui lui a ouvert de nombreuses portes.
égard|NOUN	A2	A1	FR_210	N/A
égard|NOUN	A2	A2	FR_211	N/A
égard|NOUN	A2	B1	FR_212	Son comportement à l'égard des animaux est toujours très gentil.
égard|NOUN	A2	B2	FR_213	Nous devons avoir plus d'égard pour l'environnement.
égard|NOUN	A2	C1	FR_214	Il a toujours fait preuve d'un grand égard envers ses collègues.
souris|NOUN	A2	A1	FR_215	La souris est petite.
souris|NOUN	A2	A2	FR_216	La souris mange du fromage.
souris|NOUN	A2	B1	FR_217	La souris est à côté du clavier.
souris|NOUN	A2	B2	FR_218	La souris a réussi à se cacher du chat.
souris|NOUN	A2	C1	FR_219	L'ergonomie de cette nouvelle souris permet une utilisation prolongée sans fatigue.
silhouette|NOUN	A2	A1	FR_220	N/A
silhouette|NOUN	A2	A2	FR_221	J'ai vu une silhouette dans le couloir.
silhouette|NOUN	A2	B1	FR_222	J'ai vu une silhouette dans le jardin.
silhouette|NOUN	A2	B2	FR_223	J'ai aperçu une silhouette sombre au loin.
silhouette|NOUN	A2	C1	FR_224	On pouvait distinguer sa silhouette dans le brouillard matinal.
mensonge|NOUN	A2	A1	FR_225	C'est un mensonge.
mensonge|NOUN	A2	A2	FR_226	C'est un mensonge.
mensonge|NOUN	A2	B1	FR_227	Je n'aime pas les mensonges.
mensonge|NOUN	A2	B2	FR_228	Il est difficile de pardonner un mensonge, surtout quand il vient d'un ami.
mensonge|NOUN	A2	C1	FR_229	Son habitude de déguiser la vérité sous des petits mensonges a fini par ruiner sa réputation.
plaque|NOUN	A2	A1	FR_230	Je mange une plaque de chocolat.
plaque|NOUN	A2	A2	FR_231	J'ai acheté une plaque de chocolat.
plaque|NOUN	A2	B1	FR_232	J'ai nettoyé la plaque de cuisson après le dîner.
plaque|NOUN	A2	B2	FR_233	La plaque de rue indique le nom de la voie.
plaque|NOUN	A2	C1	FR_234	La plaque commémorative a été apposée hier en l'honneur des victimes de la catastrophe.
instance|NOUN	A2	A1	FR_235	N/A
instance|NOUN	A2	A2	FR_236	N/A
instance|NOUN	A2	B1	FR_237	Cette instance est responsable de la gestion des fonds.
instance|NOUN	A2	B2	FR_238	Le dossier a été transmis à une instance supérieure pour décision.
instance|NOUN	A2	C1	FR_239	Il a porté l'affaire devant une instance supérieure.
harmonie|NOUN	A2	A1	FR_240	N/A
harmonie|NOUN	A2	A2	FR_241	Les musiciens jouent en parfaite harmonie.
harmonie|NOUN	A2	B1	FR_242	J'aime l'harmonie des couleurs dans ce tableau.
harmonie|NOUN	A2	B2	FR_243	Il est important de trouver une harmonie entre le travail et la vie personnelle.
harmonie|NOUN	A2	C1	FR_244	Le chef d'orchestre a réussi à créer une parfaite harmonie entre les musiciens.
pilote|NOUN	A2	A1	FR_245	Le pilote est dans l'avion.
pilote|NOUN	A2	A2	FR_246	Le pilote vole un avion.
pilote|NOUN	A2	B1	FR_247	Mon frère veut devenir pilote.
pilote|NOUN	A2	B2	FR_248	Le pilote a fait un atterrissage en douceur malgré le vent fort.
pilote|NOUN	A2	C1	FR_249	Le pilote expérimenté a partagé ses stratégies pour gérer le stress en vol.
mouche|NOUN	A2	A1	FR_250	Je vois une mouche.
mouche|NOUN	A2	A2	FR_251	Une mouche vole près de la fenêtre.
mouche|NOUN	A2	B1	FR_252	Il y a une mouche dans ma soupe.
mouche|NOUN	A2	B2	FR_253	Une mouche volait autour de la lampe.
mouche|NOUN	A2	C1	FR_254	Son argument a fait mouche auprès de l'assemblée.
lame|NOUN	A2	A1	FR_255	La lame du couteau est propre.
lame|NOUN	A2	A2	FR_256	La lame du couteau est très coupante.
lame|NOUN	A2	B1	FR_257	La lame du couteau est très coupante.
lame|NOUN	A2	B2	FR_258	La lame du couteau est très aiguisée.
lame|NOUN	A2	C1	FR_259	Une lame de fond inattendue a secoué violemment le bateau.
accessoire|NOUN	A2	A1	FR_260	C'est un joli accessoire.
accessoire|NOUN	A2	A2	FR_261	J'ai acheté un accessoire pour mon téléphone.
accessoire|NOUN	A2	B1	FR_262	Le sac est un accessoire important pour son style.
accessoire|NOUN	A2	B2	FR_263	Elle a oublié un accessoire essentiel pour sa robe de soirée.
accessoire|NOUN	A2	C1	FR_264	Cet accessoire est indispensable pour le bon fonctionnement de l'appareil photo.
cliché|NOUN	A2	A1	FR_265	N/A
cliché|NOUN	A2	A2	FR_266	N/A
cliché|NOUN	A2	B1	FR_267	Ce film est plein de clichés.
cliché|NOUN	A2	B2	FR_268	Ce film est plein de clichés.
cliché|NOUN	A2	C1	FR_269	Son dernier roman tente de briser les clichés sur la vie en banlieue.
lustre|NOUN	A2	A1	FR_270	Le lustre est beau.
lustre|NOUN	A2	A2	FR_271	Le lustre dans le salon est très grand.
lustre|NOUN	A2	B1	FR_272	Le lustre du salon donne une belle lumière.
lustre|NOUN	A2	B2	FR_273	Le grand lustre au plafond illuminait toute la pièce.
lustre|NOUN	A2	C1	FR_274	Le nouveau projet a apporté un nouveau lustre à la carrière de l'artiste.
indemnité|NOUN	A2	A1	FR_275	N/A
indemnité|NOUN	A2	A2	FR_276	N/A
indemnité|NOUN	A2	B1	FR_277	Il a reçu une indemnité après la fin de son contrat.
indemnité|NOUN	A2	B2	FR_278	Les victimes ont reçu une indemnité suite à l'incident.
indemnité|NOUN	A2	C1	FR_279	Le salarié a reçu une indemnité pour compenser la perte de son emploi.
rêverie|NOUN	A2	A1	FR_280	N/A
rêverie|NOUN	A2	A2	FR_281	N/A
rêverie|NOUN	A2	B1	FR_282	Pendant sa pause, elle a apprécié un moment de rêverie.
rêverie|NOUN	A2	B2	FR_283	Pendant la réunion, elle était perdue dans une rêverie.
rêverie|NOUN	A2	C1	FR_284	Elle s'est plongée dans une douce rêverie, oubliant le monde autour d'elle.
ruisseau|NOUN	A2	A1	FR_285	N/A
ruisseau|NOUN	A2	A2	FR_286	Le ruisseau coule lentement dans le jardin.
ruisseau|NOUN	A2	B1	FR_287	Un petit ruisseau coule derrière la maison.
ruisseau|NOUN	A2	B2	FR_288	Le petit ruisseau coule doucement entre les arbres.
ruisseau|NOUN	A2	C1	FR_289	Le ruisseau cristallin s'écoulait joyeusement à travers la prairie verdoyante.
collaboration|NOUN	A2	A1	FR_290	N/A
collaboration|NOUN	A2	A2	FR_291	N/A
collaboration|NOUN	A2	B1	FR_292	Ce projet a été un succès grâce à notre bonne collaboration.
collaboration|NOUN	A2	B2	FR_293	La collaboration entre les équipes a été essentielle pour le succès du projet.
collaboration|NOUN	A2	C1	FR_294	Le succès du projet repose sur une étroite collaboration entre tous les départements.
descendant|NOUN	A2	A1	FR_295	N/A
descendant|NOUN	A2	A2	FR_296	N/A
descendant|NOUN	A2	B1	FR_297	Les descendants de cette famille vivent toujours ici.
descendant|NOUN	A2	B2	FR_298	Elle est une descendante de la famille royale.
descendant|NOUN	A2	C1	FR_299	Les descendants de cette famille vivent toujours dans la région.
contribuer|VERB	A2	A1	FR_300	N/A
contribuer|VERB	A2	A2	FR_301	Il contribue au projet.
contribuer|VERB	A2	B1	FR_302	Tout le monde peut contribuer à la réussite du projet.
contribuer|VERB	A2	B2	FR_303	Chacun peut contribuer au succès de notre équipe.
contribuer|VERB	A2	C1	FR_304	Chacun doit contribuer à la réussite de ce projet.
élever|VERB	A2	A1	FR_305	Il élève sa main.
élever|VERB	A2	A2	FR_306	Élevez la main pour poser une question.
élever|VERB	A2	B1	FR_307	Ils élèvent leurs enfants avec beaucoup d'amour.
élever|VERB	A2	B2	FR_308	Il a élevé la voix pour être entendu.
élever|VERB	A2	C1	FR_309	Ils ont décidé d'élever leurs enfants à la campagne.
réclamer|VERB	A2	A1	FR_310	Les enfants réclament un dessert.
réclamer|VERB	A2	A2	FR_311	Les enfants réclament des bonbons.
réclamer|VERB	A2	B1	FR_312	Le client a réclamé une table près de la fenêtre.
